Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Region,State,Product ID,Product Name,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Cost,Profit
ORD-000001,2019-01-01,2019-01-03,Standard Class,CUST-0681,Customer 681,Home Office,South,Texas,PROD-0143,Software Product 3,Technology,Software,2,362.35,0.0,724.7,339.94,384.76
ORD-000001,2019-01-01,2019-01-02,First Class,CUST-0681,Customer 681,Home Office,South,Texas,PROD-0088,Paper Product 8,Office Supplies,Paper,1,696.47,0.0,696.47,320.66,375.81
ORD-000002,2019-01-01,2019-01-04,Standard Class,CUST-0085,Customer 85,Consumer,North,Idaho,PROD-0122,Copiers Product 2,Technology,Copiers,1,1054.92,0.0,1054.92,387.75,667.17
ORD-000003,2019-01-01,2019-01-02,Second Class,CUST-0183,Customer 183,Home Office,East,Vermont,PROD-0076,Bookcases Product 6,Furniture,Bookcases,1,966.53,0.0,966.53,357.1,609.43
ORD-000004,2019-01-01,2019-01-02,Standard Class,CUST-0806,Customer 806,Corporate,West,Arizona,PROD-0008,Phones Product 8,Electronics,Phones,2,1019.33,0.0,2038.66,711.46,1327.2
ORD-000004,2019-01-01,2019-01-02,Same Day,CUST-0806,Customer 806,Corporate,West,Arizona,PROD-0156,Hardware Product 6,Technology,Hardware,1,138.44,0.0,138.44,49.26,89.18
ORD-000005,2019-01-01,2019-01-02,Standard Class,CUST-0385,Customer 385,Corporate,East,Pennsylvania,PROD-0146,Software Product 6,Technology,Software,1,294.24,0.0,294.24,204.49,89.75
ORD-000006,2019-01-01,2019-01-02,Standard Class,CUST-0693,Customer 693,Corporate,West,Arizona,PROD-0100,Binders Product 10,Office Supplies,Binders,3,541.15,0.0,1623.45,1131.99,491.46
ORD-000007,2019-01-01,2019-01-02,First Class,CUST-0687,Customer 687,Corporate,East,Maine,PROD-0081,Paper Product 1,Office Supplies,Paper,1,593.76,0.0,593.76,414.65,179.11
ORD-000008,2019-01-01,2019-01-03,Second Class,CUST-0611,Customer 611,Consumer,Central,Michigan,PROD-0081,Paper Product 1,Office Supplies,Paper,3,593.76,0.0,1781.28,1243.95,537.33
ORD-000009,2019-01-01,2019-01-02,Standard Class,CUST-0299,Customer 299,Corporate,Central,Illinois,PROD-0015,Tablets Product 5,Electronics,Tablets,5,447.85,0.0,2239.25,831.8,1407.45
ORD-000010,2019-01-01,2019-01-03,First Class,CUST-0656,Customer 656,Consumer,West,Utah,PROD-0060,Tables Product 10,Furniture,Tables,2,200.84,0.0,401.68,280.28,121.4
ORD-000011,2019-01-01,2019-01-02,Standard Class,CUST-0625,Customer 625,Corporate,West,Arizona,PROD-0097,Binders Product 7,Office Supplies,Binders,2,415.98,0.0,831.96,358.96,473.0
ORD-000012,2019-01-08,2019-01-12,Standard Class,CUST-0048,Customer 48,Corporate,Central,Michigan,PROD-0043,Chairs Product 3,Furniture,Chairs,3,965.38,0.0,2896.14,1418.76,1477.38
ORD-000012,2019-01-08,2019-01-09,Standard Class,CUST-0048,Customer 48,Corporate,Central,Michigan,PROD-0050,Chairs Product 10,Furniture,Chairs,2,717.44,0.0,1434.88,784.0,650.88
ORD-000013,2019-01-08,2019-01-09,Standard Class,CUST-0193,Customer 193,Home Office,North,Idaho,PROD-0041,Chairs Product 1,Furniture,Chairs,1,537.99,0.0,537.99,395.31,142.68
ORD-000014,2019-01-08,2019-01-10,Standard Class,CUST-0748,Customer 748,Corporate,West,Arizona,PROD-0127,Copiers Product 7,Technology,Copiers,1,96.18,0.0,96.18,67.48,28.7
ORD-000014,2019-01-08,2019-01-10,First Class,CUST-0748,Customer 748,Corporate,West,Arizona,PROD-0096,Binders Product 6,Office Supplies,Binders,1,96.66,0.0,96.66,43.0,53.66
ORD-000015,2019-01-08,2019-01-09,Standard Class,CUST-0984,Customer 984,Consumer,South,Alabama,PROD-0015,Tablets Product 5,Electronics,Tablets,3,447.85,0.0,1343.55,499.08,844.47
ORD-000016,2019-01-08,2019-01-11,Second Class,CUST-0070,Customer 70,Home Office,West,Arizona,PROD-0094,Binders Product 4,Office Supplies,Binders,2,458.86,0.0,917.72,694.12,223.6
ORD-000016,2019-01-08,2019-01-11,Same Day,CUST-0070,Customer 70,Home Office,West,Arizona,PROD-0109,Pens Product 9,Office Supplies,Pens,4,122.13,0.2819,350.8,201.48,149.32
ORD-000017,2019-01-08,2019-01-09,Standard Class,CUST-0040,Customer 40,Consumer,South,Georgia,PROD-0097,Binders Product 7,Office Supplies,Binders,2,415.98,0.0,831.96,358.96,473.0
ORD-000018,2019-01-08,2019-01-13,Standard Class,CUST-0242,Customer 242,Home Office,West,California,PROD-0148,Software Product 8,Technology,Software,1,627.68,0.0,627.68,402.29,225.39
ORD-000019,2019-01-08,2019-01-11,Second Class,CUST-0907,Customer 907,Home Office,East,Pennsylvania,PROD-0118,Envelopes Product 8,Office Supplies,Envelopes,1,613.63,0.0,613.63,329.32,284.31
ORD-000019,2019-01-08,2019-01-11,Standard Class,CUST-0907,Customer 907,Home Office,East,Pennsylvania,PROD-0054,Tables Product 4,Furniture,Tables,1,523.63,0.3354,348.03,204.16,143.87
ORD-000020,2019-01-08,2019-01-10,Standard Class,CUST-0963,Customer 963,Consumer,North,Montana,PROD-0142,Software Product 2,Technology,Software,2,346.07,0.239,526.75,568.46,-41.71
ORD-000021,2019-01-15,2019-01-17,Same Day,CUST-0433,Customer 433,Corporate,South,Alabama,PROD-0056,Tables Product 6,Furniture,Tables,1,657.25,0.0,657.25,409.76,247.49
ORD-000021,2019-01-15,2019-01-16,Same Day,CUST-0433,Customer 433,Corporate,South,Alabama,PROD-0071,Bookcases Product 1,Furniture,Bookcases,5,756.16,0.0,3780.8,2070.45,1710.35
ORD-000022,2019-01-15,2019-01-18,First Class,CUST-1000,Customer 1000,Consumer,Central,Illinois,PROD-0050,Chairs Product 10,Furniture,Chairs,3,717.44,0.0,2152.32,1176.0,976.32
ORD-000023,2019-01-15,2019-01-17,Second Class,CUST-0136,Customer 136,Consumer,Central,Wisconsin,PROD-0011,Tablets Product 1,Electronics,Tablets,3,610.34,0.0,1831.02,1055.22,775.8
ORD-000024,2019-01-15,2019-01-18,Standard Class,CUST-0776,Customer 776,Consumer,West,Nevada,PROD-0113,Envelopes Product 3,Office Supplies,Envelopes,1,506.68,0.0,506.68,215.67,291.01
ORD-000025,2019-01-15,2019-01-18,Second Class,CUST-0755,Customer 755,Consumer,West,California,PROD-0100,Binders Product 10,Office Supplies,Binders,1,541.15,0.0,541.15,377.33,163.82
ORD-000025,2019-01-15,2019-01-18,Standard Class,CUST-0755,Customer 755,Consumer,West,California,PROD-0123,Copiers Product 3,Technology,Copiers,1,891.09,0.0,891.09,382.9,508.19
ORD-000025,2019-01-15,2019-01-16,Second Class,CUST-0755,Customer 755,Consumer,West,California,PROD-0055,Tables Product 5,Furniture,Tables,2,518.51,0.0,1037.02,702.1,334.92
ORD-000026,2019-01-15,2019-01-18,Standard Class,CUST-0796,Customer 796,Home Office,North,Idaho,PROD-0085,Paper Product 5,Office Supplies,Paper,2,22.54,0.0,45.08,26.26,18.82
ORD-000027,2019-01-15,2019-01-20,Standard Class,CUST-0083,Customer 83,Consumer,East,New York,PROD-0095,Binders Product 5,Office Supplies,Binders,1,389.7,0.2159,305.56,157.47,148.09
ORD-000027,2019-01-15,2019-01-16,Standard Class,CUST-0083,Customer 83,Consumer,East,New York,PROD-0096,Binders Product 6,Office Supplies,Binders,4,96.66,0.293,273.36,172.0,101.36
ORD-000028,2019-01-15,2019-01-18,Second Class,CUST-0286,Customer 286,Consumer,South,Alabama,PROD-0118,Envelopes Product 8,Office Supplies,Envelopes,1,613.63,0.0,613.63,329.32,284.31
ORD-000028,2019-01-15,2019-01-16,Same Day,CUST-0286,Customer 286,Consumer,South,Alabama,PROD-0100,Binders Product 10,Office Supplies,Binders,3,541.15,0.0,1623.45,1131.99,491.46
ORD-000029,2019-01-15,2019-01-16,Standard Class,CUST-0091,Customer 91,Consumer,South,Georgia,PROD-0119,Envelopes Product 9,Office Supplies,Envelopes,2,889.52,0.0,1779.04,867.08,911.96
ORD-000030,2019-01-22,2019-01-26,Second Class,CUST-0556,Customer 556,Consumer,East,Maine,PROD-0024,Laptops Product 4,Electronics,Laptops,3,154.43,0.0,463.29,372.45,90.84
ORD-000030,2019-01-22,2019-01-25,Standard Class,CUST-0556,Customer 556,Consumer,East,Maine,PROD-0054,Tables Product 4,Furniture,Tables,3,523.63,0.1722,1300.34,612.48,687.86
ORD-000030,2019-01-22,2019-01-23,Standard Class,CUST-0556,Customer 556,Consumer,East,Maine,PROD-0011,Tablets Product 1,Electronics,Tablets,3,610.34,0.0,1831.02,1055.22,775.8
ORD-000031,2019-01-22,2019-01-25,Second Class,CUST-0418,Customer 418,Consumer,West,Utah,PROD-0037,Accessories Product 7,Electronics,Accessories,1,37.74,0.0,37.74,30.63,7.11
ORD-000031,2019-01-22,2019-01-25,First Class,CUST-0418,Customer 418,Consumer,West,Utah,PROD-0074,Bookcases Product 4,Furniture,Bookcases,2,955.85,0.0,1911.7,801.48,1110.22
ORD-000032,2019-01-22,2019-01-23,Standard Class,CUST-0149,Customer 149,Consumer,Central,Illinois,PROD-0083,Paper Product 3,Office Supplies,Paper,1,237.23,0.0,237.23,88.77,148.46
ORD-000033,2019-01-22,2019-01-24,Standard Class,CUST-0195,Customer 195,Consumer,South,Florida,PROD-0055,Tables Product 5,Furniture,Tables,3,518.51,0.1797,1276.05,1053.15,222.9
ORD-000033,2019-01-22,2019-01-23,Standard Class,CUST-0195,Customer 195,Consumer,South,Florida,PROD-0039,Accessories Product 9,Electronics,Accessories,2,480.6,0.0,961.2,396.64,564.56
ORD-000034,2019-01-22,2019-01-23,Standard Class,CUST-0094,Customer 94,Corporate,Central,Wisconsin,PROD-0057,Tables Product 7,Furniture,Tables,1,259.27,0.0,259.27,119.67,139.6
ORD-000035,2019-01-22,2019-01-24,Standard Class,CUST-0993,Customer 993,Consumer,North,Idaho,PROD-0109,Pens Product 9,Office Supplies,Pens,1,122.13,0.0353,117.81,50.37,67.44
ORD-000035,2019-01-22,2019-01-23,Standard Class,CUST-0993,Customer 993,Consumer,North,Idaho,PROD-0083,Paper Product 3,Office Supplies,Paper,1,237.23,0.0,237.23,88.77,148.46
ORD-000035,2019-01-22,2019-01-23,First Class,CUST-0993,Customer 993,Consumer,North,Idaho,PROD-0049,Chairs Product 9,Furniture,Chairs,1,181.26,0.0,181.26,118.04,63.22
ORD-000036,2019-01-22,2019-01-24,Standard Class,CUST-0118,Customer 118,Consumer,East,Maine,PROD-0122,Copiers Product 2,Technology,Copiers,3,1054.92,0.0,3164.76,1163.25,2001.51
ORD-000036,2019-01-22,2019-01-24,Standard Class,CUST-0118,Customer 118,Consumer,East,Maine,PROD-0007,Phones Product 7,Electronics,Phones,1,600.65,0.0,600.65,472.59,128.06
